retriever,question_id,question,company,difficulty,section,ground_truth,answer,rouge_l,context_precision,answer_relevancy,faithfulness,retrieval_time,gen_time,total_time
Dense,amd_001,What are AMD's main competitive risks in the processor market?,ADVANCED MICRO DEVICES INC,easy,section_1A,"AMD faces intense competition from Intel in microprocessors and faces risks including competitors introducing better products faster, aggressive pricing pressure, and competitors having greater access to complementary technologies.","Based on the provided SEC filings, AMD's main competitive risks in the processor market are:

1. Intel's dominance and aggressive business practices:
According to [3] and [4], Intel's dominant position in the microprocessor market and integrated graphics chipset market, its existing relationships with top-tier OEMs, and its aggressive marketing and pricing strategies could result in lower unit sales and average selling prices for AMD's products, which could have a material adverse effect on us. Additionally, Intel's ability to drive de facto standards for x86 microprocessors may cause AMD and other companies to have delayed access to such standards.

2. Intel's significant financial resources:
As stated in [3] and [4], Intel has substantially greater financial resources than AMD, which enables it to market its products aggressively, target customers and channel partners with special incentives, and discipline customers who do business with Intel. These aggressive activities may result in lower unit sales and average selling prices for AMD's products.

3. Market acceptance for new",0.0737,1.0,0.8333,1.0,0.112,10.882,10.994
Dense,amd_002,What was AMD's strategy for the enterprise processor market?,ADVANCED MICRO DEVICES INC,medium,section_7,AMD aimed to increase its share of the enterprise market with tier-one OEM customers to utilize capacity of their planned 300-millimeter wafer fabrication facility and marketed the AMD Opteron processor for enterprise customers.,The provided filings do not contain enough information to answer this question.,0.0889,1.0,0.0,0.0,0.048,4.191,4.24
Dense,amd_003,How did AMD describe its manufacturing strategy?,ADVANCED MICRO DEVICES INC,medium,section_1,AMD planned to transition to new process technologies at a fast pace including 90-nanometer process technology and build a 300-millimeter wafer fabrication facility to offer higher-performance microprocessors in greater volumes.,"The provided filings do not contain enough information to answer this question. 

However, based on Section 4 of Advanced Micro Devices Inc | Date: 2013-02-21, it can be stated that AMD is a global semiconductor company with facilities around the world and offers primarily x86 microprocessors, embedded processors, chipsets for desktop and mobile devices, professional workstations and servers; and graphics, video and multimedia products.",0.0638,1.0,0.25,0.5,0.041,6.35,6.391
Dense,amd_004,What markets does AMD sell its products in?,ADVANCED MICRO DEVICES INC,easy,section_1,"AMD sells microprocessors and related products in consumer and commercial markets including the PC market, mobile computing market, and enterprise market through tier-one OEM customers.","According to the provided SEC filings, AMD sells its products in the following markets:

* Computation and communication equipment (Section 1 of [1] and [3])
* Embedded processor solutions (Section 4 of [4])
* Consumer electronics devices (Section 4 of [4])

Additionally, AMD markets and sells its products through third-party distributors and independent representatives in both domestic and international markets pursuant to non-exclusive agreements. The specific countries mentioned include:

* Europe (Section 1 of [3] and [2])
* Asia-Pacific Basin (Section 1 of [3] and [2])
* United States (Section 1 of [3] and [2])

Note that the provided filings do not provide an exhaustive list of all markets where AMD sells its products, but rather highlight specific areas of focus and geographic regions mentioned in the filings.",0.1176,1.0,0.8,1.0,0.052,6.641,6.692
Dense,amd_005,What financial risks does AMD disclose related to manufacturing?,ADVANCED MICRO DEVICES INC,hard,section_1A,"AMD discloses risks including failure to achieve yield and volume goals, inability to offer higher-performance microprocessors in significant volume on a timely basis, and risks related to transitioning to new process technologies.","According to the 2008 SEC filing, Advanced Micro Devices Inc. discloses several financial risks related to manufacturing:

One of the risks mentioned is the interruption of supply for certain raw materials used in the manufacture of its products, which could result in shortages and force AMD to reduce its manufacturing operations (Section: Business, [4]).

Additionally, the company mentions that the failure to comply with present or future governmental regulations related to the use, storage, handling, discharge, or disposal of toxic, volatile, or otherwise hazardous chemicals used in the manufacturing process could result in fines being imposed on the Company, suspension of production, alteration of the Company's manufacturing processes, or cessation of operations (Section: Business, [4]).

Finally, AMD notes that while it has budgeted for foreseeable associated expenditures, future environmental legal requirements may become more stringent or costly in the future, which could have a material adverse effect on the Company (Section: Risk Factors, [5]).",0.086,1.0,0.8333,1.0,0.071,8.875,8.946
Dense,abt_001,What are Abbott Laboratories' main business segments?,ABBOTT LABORATORIES,easy,section_1,"Abbott Laboratories has four reportable revenue segments: Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Vascular Products.","According to Abbott Laboratories' 2015 SEC 10-K filing ([1]), the company has four reportable segments:

1. Established Pharmaceutical Products
2. Diagnostic Products
3. Nutritional Products
4. Vascular Products

This information is also consistent with their 2016 and 2005 filings, which list the same four segments (see [2] and [3]). Additionally, their 2018 filing ([5]) lists the same four segments, with a slight change in segment name:

1. Established Pharmaceutical Products
2. Diagnostic Products
3. Nutritional Products
4. Cardiovascular and Neuromodulation Products",0.1856,1.0,0.4,0.9,0.027,6.312,6.339
Dense,abt_002,How does Abbott Laboratories sell its pharmaceutical products?,ABBOTT LABORATORIES,easy,section_1,Abbott's pharmaceutical products are sold primarily on the prescription or recommendation of physicians or other health care professionals.,"According to the provided context, Abbott Laboratories sells its pharmaceutical products primarily on the prescription or recommendation of physicians or other healthcare professionals (as stated in [1] and [5]).

Additionally, the 2008 filing ([3]) mentions that Abbott's principal products are available ""primarily on the prescription, or recommendation, of physicians.""",0.3582,1.0,0.8,1.0,0.027,7.944,7.971
Dense,abt_003,What is Humira and what conditions does it treat?,ABBOTT LABORATORIES,medium,section_1,"Humira is a pharmaceutical product sold by Abbott Laboratories used to treat various conditions including rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, psoriasis and Crohn's disease.",The provided filings do not contain enough information to answer this question.,0.0541,0.0,0.0,1.0,0.025,4.395,4.42
Dense,abt_004,How does Abbott recognize revenue?,ABBOTT LABORATORIES,hard,section_8,"Abbott records revenue when certain conditions are met such as when a product is delivered or a service is performed, and allocates revenue based on the relative selling price of each deliverable.","According to Abbott Laboratories' SEC filings, revenue is recognized under the following conditions:

* Revenue from the launch of a new product, from an improved version of an existing product, or for shipments in excess of a customer's normal requirements are recorded when the conditions noted above are met.
* In those situations, management records a returns reserve for such revenue, if necessary.

Additionally, Abbott recognizes revenue under selling arrangements that include multiple deliverables (e.g., instruments, reagents, procedures, and service agreements) as follows:

* Under these arrangements, Abbott recognizes revenue upon delivery of the product or performance of the service.
* The revenue is allocated to each deliverable based on the relative selling price of each deliverable, which is based primarily on vendor-specific objective evidence.

Sales of product rights for marketable products are recorded as revenue upon disposition of the rights. Revenue from license of product rights, or for performance of research or selling activities, is recorded over the periods earned.

[1] Abbott Laboratories |",0.1827,1.0,0.6667,1.0,0.041,7.217,7.258
Dense,abt_005,What types of products does Abbott's nutritional segment include?,ABBOTT LABORATORIES,medium,section_1,Abbott's nutritional segment includes a broad line of adult and pediatric nutritionals including prepared infant formula sold primarily on the recommendation of physicians and health care professionals.,"Abbott's Nutritional Products segment includes a broad line of pediatric and adult nutritionals manufactured, marketed, and sold worldwide. This includes:

* Various forms of prepared infant formula and follow-on formula, such as Similac Advance, Similac, Similac With Iron, Similac Sensitive, Isomil Advance, Alimentum, Gain, and Grow (as stated in [1] and [2]).
* Adult and other pediatric nutritional products, including Ensure, Ensure Plus, Ensure High Protein, Glucerna, ProSure, PediaSure, Pedialyte, Juven, and EleCare (as stated in [2]).
* Nutritional products used in enteral feeding in health care institutions, such as Jevity, Osmolite, Oxepa, and Nepro (as stated in [2]).
* Zone Perfect bars and the EAS family of nutritional brands, including AdvantEdge and Myoplex (as stated in [2]).

",0.2207,1.0,0.6667,1.0,0.052,8.626,8.677
